date,China-Hubei,Japan-,China-Hong Kong
2020-01-23,,,
2020-01-30,16.2744947752996,0.186173513714782,1.28266794933462
2020-02-06,62.8095493581812,0.24823135161971,2.24466891133558
2020-02-13,95.2380952380952,0.206859459683091,4.64967131633798
2020-02-20,51.958669571914,1.28252865003517,2.40500240500241
2020-02-27,11.511495070934,2.54437135410202,3.84800384800385
2020-03-05,6.82514133882264,3.04083405734144,2.08433541766875
2020-03-12,1.14968958381237,6.84704811551032,3.84800384800385
2020-03-19,0.0693463558490001,5.62657730338008,12.6663459996793
2020-03-26,0.00364980820257895,9.26730379380249,39.2817059483726
2020-04-02,0.00364980820257895,29.0016962475694,55.9563892897226
2020-04-09,0.00364980820257895,57.8379049273923,27.4170274170274
2020-04-16,0,78.2756195440817,7.05467372134039
2020-04-23,1.18618766583816,63.5265400686773,2.88600288600289
2020-04-30,0,37.5449919324811,0.320666987333654
2020-05-07,0,26.2504654337843,1.12233445566779
2020-05-14,0.0218988492154737,11.2324686607919,1.12233445566779
2020-05-21,0.00364980820257895,5.50246162757023,0.641333974667308
2020-05-28,0,4.88188324852096,1.7636684303351
2020-06-04,0,6.47470108808076,5.29100529100529
2020-06-11,0,5.70932108725332,1.28266794933462
2020-06-18,0,8.29506433329196,2.72566939233606
2020-06-25,0,9.66033676720036,11.0630110630111
2020-07-02,0,20.6859459683091,7.85634118967452
2020-07-09,0,32.3114476024989,19.7210197210197
2020-07-16,0,59.8444416863183,46.4967131633798
2020-07-23,0,95.2380952380952,95.2380952380952
