date,US-New York-New York City,Israel-,US-Arizona-Maricopa,US-New York-Nassau,China-Hong Kong,Singapore-
2020-03-07,0.0850665645867892,0.505241884552229,0,0,1.19047619047619,0.534295064449342
2020-03-08,0.0243047327390826,1.51572565365669,0,0.0491424640031451,7.14285714285714,0.801442596674013
2020-03-09,0.0729141982172478,0,0,0.589709568037741,1.19047619047619,0
2020-03-10,0.206590228282202,1.17889773062187,0,0.0982849280062902,5.95238095238095,0.667868830561678
2020-03-11,0.18228549554312,0.33682792303482,0.614439324116744,0.442282176028306,7.14285714285714,1.20216389501102
2020-03-12,0.534704120259818,1.7683465959328,0,0.638852032040886,3.57142857142857,0
2020-03-13,0.716989615802937,2.18938149972633,0,0.491424640031451,5.95238095238095,1.46931142723569
2020-03-14,1.38536976612771,2.44200244200244,0.614439324116744,1.37598899208806,7.14285714285714,0.801442596674013
2020-03-15,0.74129434854202,4.88400488400488,0,0.933706816059757,5.95238095238095,0.935016362786349
2020-03-16,1.62841709351854,0.421034903793524,2.45775729646697,0.540567104034596,11.9047619047619,1.13537701195485
2020-03-17,2.19957831288698,2.69462338427856,0.614439324116744,1.08113420806919,8.33333333333333,1.53609831029186
2020-03-18,8.43374226046167,4.54717696097006,1.22887864823349,2.55540812816355,22.6190476190476,3.13898350363989
2020-03-19,13.7200216312121,10.3574586333207,6.75883256528418,9.77935033662588,32.1428571428571,2.13718025779737
2020-03-20,23.5755907569101,8.5891120373879,7.37327188940092,18.28099660917,57.1428571428571,2.67147532224671
2020-03-21,21.910716564283,15.409877478843,9.21658986175115,23.5883827215097,20.2380952380952,3.13898350363989
2020-03-22,34.4398062912801,14.3993937097385,19.6620583717358,32.7288810260946,52.3809523809524,1.53609831029186
2020-03-23,39.6167143647047,15.8309123826365,35.6374807987711,26.6352154897047,46.4285714285714,3.60649168503306
2020-03-24,31.5961525608074,14.0625657867037,36.8663594470046,20.983832129343,35.7142857142857,3.27255726975222
2020-03-25,62.0499826828779,95.2380952380952,31.9508448540707,20.4432650253084,28.5714285714286,4.87544246310025
2020-03-26,37.6844881119476,27.2830617658204,29.4930875576037,30.9106098579783,51.1904761904762,3.47291791892072
2020-03-27,27.792461887141,28.7987874194771,61.4439324116743,36.5128507543368,78.5714285714286,3.27255726975222
2020-03-28,65.2217503053282,49.1768767630837,33.7941628264209,43.2453683227677,50,4.67508181393174
2020-03-29,36.481403841363,52.8819839164667,56.5284178187404,44.6213573148558,95.2380952380952,2.80504908835905
2020-03-30,52.4860703500489,37.7247273798998,88.4792626728111,44.1790751388275,48.8095238095238,2.33754090696587
2020-03-31,61.3937548989227,55.8292282430213,62.0583717357911,58.9709568037741,38.0952380952381,3.13898350363989
2020-04-01,52.2673277553972,61.8079238768894,49.1551459293395,49.6830311071797,60.7142857142857,4.94222934615641
2020-04-02,53.1058410348955,64.4183402804093,55.2995391705069,50.7150228512458,44.0476190476191,3.27255726975222
2020-04-03,65.015160077046,48.0821860132205,54.0706605222734,70.6177207725195,51.1904761904762,4.34114739865091
2020-04-04,74.7005960735704,35.6195528609322,74.9615975422427,64.9663374121578,20.2380952380952,5.00901622921258
2020-04-05,51.5867952387029,48.7558418592901,95.2380952380952,51.6978721313087,33.3333333333333,8.01442596674013
2020-04-06,56.2533039246067,39.9141088796261,65.7450076804916,59.8555211558308,28.5714285714286,4.40793428170707
2020-04-07,57.0553601049964,28.9672013809945,38.0952380952381,48.8476092191262,25,7.07940960395378
2020-04-08,59.87470910273,13.136288998358,39.3241167434716,95.2380952380952,29.7619047619048,9.48373739397582
2020-04-09,63.4961142808533,47.4927371479096,79.8771121351766,78.234802693007,15.4761904761905,19.1678354371202
2020-04-10,65.0880742752633,37.0510715338302,31.9508448540707,67.4234606123151,19.047619047619,13.2238028451212
2020-04-11,71.9906183731627,28.2093385541661,92.1658986175115,52.6807214113716,13.0952380952381,12.756294663728
2020-04-12,59.5465952107524,33.8512062649994,42.3963133640553,47.6190476190476,4.76190476190476,15.5613437520871
2020-04-13,43.2138148100889,37.1352785145889,36.8663594470046,39.5596835225318,5.95238095238095,25.7797368596808
2020-04-14,44.9759079336724,38.7352111490043,22.1198156682028,43.8350778908054,3.57142857142857,22.30681894076
2020-04-15,95.2380952380952,38.3141762452107,55.2995391705069,71.9937097646076,5.95238095238095,29.853736726107
2020-04-16,58.8660626940581,21.6411940549872,72.5038402457757,51.9435844513244,0,48.6208508648901
2020-04-17,51.1128529502907,18.8623636899499,86.0215053763441,37.6922698904123,4.76190476190476,41.6082281439925
2020-04-18,47.6494285349715,23.8305755547135,53.4562211981567,31.500319426016,3.57142857142857,62.91324383891
2020-04-19,38.5594584905546,19.0307776514673,60.2150537634409,40.9356725146199,1.19047619047619,39.804982301476
2020-04-20,28.8011082958129,18.6939497284325,28.8786482334869,32.6305960980884,0,95.2380952380952
2020-04-21,30.6118108848746,19.2833985937434,62.6728110599078,19.7552705292643,4.76190476190476,74.2002270754024
2020-04-22,37.7574023101648,46.8190813018399,66.3594470046083,23.3918128654971,4.76190476190476,67.8554731850665
2020-04-23,41.4760264192445,25.683129131405,76.1904761904762,27.9620620177896,2.38095238095238,69.257997729246
2020-04-24,56.2533039246067,21.4727800934697,89.7081413210446,31.500319426016,0,59.9078341013825
2020-04-25,56.3869799546717,20.2096753820892,72.5038402457757,50.7641653152489,2.38095238095238,41.2742937287117
2020-04-26,38.2070398658379,12.2100122100122,76.8049155145929,35.5791439382771,0,62.1785881252922
2020-04-27,27.1119293704467,9.43118184497495,60.2150537634409,16.8558651530788,0,53.3627195618781
