date,China-Hubei,Japan-,China-Hong Kong
2020-01-22,2.84944166345784,0.271720671150058,0
2020-01-23,0,0,2.38095238095238
2020-01-24,0.673854447439353,0,0
2020-01-25,1.36054421768707,0,3.57142857142857
2020-01-26,1.90604543704274,0.271720671150058,3.57142857142857
2020-01-27,2.34244641252728,0,0
2020-01-28,13.6760364523168,0.407581006725087,0
2020-01-29,0,0,2.38095238095238
2020-01-30,8.65742523424464,0.543441342300115,0
2020-01-31,5.79514824797844,0.543441342300115,2.38095238095238
2020-02-01,8.64458991143627,0.679301677875144,1.19047619047619
2020-02-02,25.8246694904377,0,2.38095238095238
2020-02-03,15.0494159928122,0,0
2020-02-04,20.2541393916057,0.271720671150058,2.38095238095238
2020-02-05,19.1695546142986,0.135860335575029,4.76190476190476
2020-02-06,15.704017456039,0,3.57142857142857
2020-02-07,18.2325760492876,0,1.19047619047619
2020-02-08,13.7787190347837,0.135860335575029,1.19047619047619
2020-02-09,16.2431010139905,0,3.57142857142857
2020-02-10,13.4578359645745,0.271720671150058,10.7142857142857
2020-02-11,10.5121293800539,0.135860335575029,13.0952380952381
2020-02-12,0,0.135860335575029,1.19047619047619
2020-02-13,95.2380952380952,0.679301677875144,3.57142857142857
2020-02-14,39.7895007059428,1.35860335575029,3.57142857142857
2020-02-15,11.8277499679117,1.49446369132532,0
2020-02-16,12.4053394942883,0.815162013450173,1.19047619047619
2020-02-17,11.5967141573611,0.951022349025202,3.57142857142857
2020-02-18,10.865100757284,1.63032402690035,2.38095238095238
2020-02-19,2.23976383006033,0.815162013450173,1.19047619047619
2020-02-20,2.63765883711975,1.35860335575029,5.95238095238095
2020-02-21,1.41188550892055,2.30962570477549,0
2020-02-22,9.1259145167501,3.39650838937572,1.19047619047619
2020-02-23,0,1.63032402690035,5.95238095238095
2020-02-24,1.30278526504942,1.49446369132532,5.95238095238095
2020-02-25,3.20241304068797,1.76618436247538,5.95238095238095
2020-02-26,2.57348222307791,2.58134637592555,8.33333333333333
2020-02-27,2.62482351431138,3.53236872495075,1.19047619047619
2020-02-28,2.04081632653061,2.44548604035052,2.38095238095238
2020-02-29,2.71467077396997,1.22274302017526,1.19047619047619
2020-03-01,3.65806700038506,1.9020446980504,1.19047619047619
2020-03-02,1.25786163522013,2.58134637592555,4.76190476190476
2020-03-03,0.731613400077012,2.71720671150058,0
2020-03-04,0.738031061481196,4.75511174512601,5.95238095238095
2020-03-05,0.859966628160698,4.34753073840092,0
2020-03-06,0.808625336927224,7.47231845662659,2.38095238095238
2020-03-07,0.474906943909639,6.24957543645133,1.19047619047619
2020-03-08,0.263124117571557,4.48339107397595,7.14285714285714
2020-03-09,0.231035810550635,3.80408939610081,1.19047619047619
2020-03-10,0.109100243871133,7.87989946335167,5.95238095238095
2020-03-11,0.0834295982543961,7.47231845662659,7.14285714285714
2020-03-12,0.0513412912334745,7.60817879220162,3.57142857142857
2020-03-13,0.0320883070209216,5.02683241627607,5.95238095238095
2020-03-14,0.0256706456167373,8.42334080565179,7.14285714285714
2020-03-15,0.0256706456167373,4.21167040282589,5.95238095238095
2020-03-16,0.0256706456167373,2.30962570477549,11.9047619047619
2020-03-17,0.00641766140418432,6.79301677875144,8.33333333333333
2020-03-18,0.00641766140418432,4.75511174512601,22.6190476190476
2020-03-19,0,5.43441342300115,32.1428571428571
2020-03-20,0,7.33645812105156,57.1428571428571
2020-03-21,0,5.02683241627607,20.2380952380952
2020-03-22,0,6.1137151008763,52.3809523809524
2020-03-23,0,5.43441342300115,46.4285714285714
2020-03-24,0.00641766140418432,9.91780449697711,35.7142857142857
2020-03-25,0,13.1784525507778,28.5714285714286
2020-03-26,0,13.8577542286529,51.1904761904762
2020-03-27,0,15.4880782555533,78.5714285714286
2020-03-28,0,26.9003464438557,50
2020-03-29,0,24.3190000679302,95.2380952380952
2020-03-30,0,12.7708715440527,48.8095238095238
2020-03-31,0,34.5085252360573,38.0952380952381
2020-04-01,0.00641766140418432,38.0408939610081,60.7142857142857
2020-04-02,0,38.4484749677332,44.0476190476191
2020-04-03,0,45.6490727532097,51.1904761904762
2020-04-04,0.00641766140418432,50.4041844983357,20.2380952380952
2020-04-05,0,47.6869777868351,33.3333333333333
2020-04-06,0,31.7913185245568,28.5714285714286
2020-04-07,0,50.9476258406358,25
2020-04-08,0,72.6852795326404,29.7619047619048
2020-04-09,0,80.7010393315671,15.4761904761905
2020-04-10,0,86.4071734257184,19.047619047619
2020-04-11,0,95.2380952380952,13.0952380952381
2020-04-12,0,70.9190951701651,4.76190476190476
2020-04-13,0,40.7581006725087,5.95238095238095
2020-04-14,0,68.4736091298145,3.57142857142857
2020-04-15,0,75.8100672508661,5.95238095238095
2020-04-16,0,76.4893689287412,0
2020-04-17,2.0857399563599,76.0817879220162,4.76190476190476
2020-04-18,0,80.157597989267,3.57142857142857
2020-04-19,0,49.7248828204606,1.19047619047619
2020-04-20,0,46.7359554378099,0
2020-04-21,0,52.034508525236,4.76190476190476
2020-04-22,0,53.8006928877114,4.76190476190476
2020-04-23,0,58.6916649684125,2.38095238095238
2020-04-24,0,52.3062291963861,0
2020-04-25,0,45.1056314109096,2.38095238095238
2020-04-26,0,29.7534134909313,0
2020-04-27,0,23.2321173833299,0
2020-04-28,0,38.5843353033082,0
2020-04-29,0,29.3458324842062,0
2020-04-30,0,28.258949799606,0
2020-05-01,0,37.2257319475579,2.38095238095238
2020-05-02,0,41.1656816792337,0
2020-05-03,0,27.1720671150058,0
2020-05-04,0,22.8245363766048,1.19047619047619
2020-05-05,0,16.9825419468786,0
