date,US-New York-New York City,Japan-,US-New York-Nassau
2020-03-07,0.0864197530864197,4.75086906141367,0
2020-03-08,0.0246913580246914,4.75086906141367,0.0515995872033024
2020-03-09,0.0740740740740741,1.04287369640788,0.619195046439629
2020-03-10,0.209876543209877,8.11123986095017,0.103199174406605
2020-03-11,0.185185185185185,6.720741599073,0.464396284829721
2020-03-12,0.54320987654321,0,0.670794633642931
2020-03-13,0.728395061728395,7.18424101969873,0.515995872033024
2020-03-14,1.40740740740741,8.34298957126304,1.44478844169247
2020-03-15,0.753086419753086,7.64774044032445,0.980392156862745
2020-03-16,1.65432098765432,0,0.567595459236326
2020-03-17,2.23456790123457,4.51911935110081,1.13519091847265
2020-03-18,8.5679012345679,1.27462340672074,2.68317853457172
2020-03-19,13.9382716049383,4.05561993047509,10.2683178534572
2020-03-20,23.9506172839506,4.51911935110081,19.1950464396285
2020-03-21,22.2592592592593,5.09849362688297,24.7678018575851
2020-03-22,34.9876543209877,10.8922363847045,34.3653250773994
2020-03-23,40.2469135802469,3.12862108922364,27.9669762641899
2020-03-24,32.0987654320988,7.53186558516802,22.0330237358101
2020-03-25,63.037037037037,13.2097334878331,21.4654282765738
2020-03-26,38.2839506172839,9.26998841251448,32.4561403508772
2020-03-27,28.2345679012346,9.38586326767092,38.3384932920537
2020-03-28,66.2592592592593,26.071842410197,45.4076367389061
2020-03-29,37.0617283950617,20.0463499420626,46.8524251805986
2020-03-30,53.320987654321,0,46.3880288957688
2020-03-31,62.3703703703704,10.0811123986095,61.9195046439628
2020-04-01,53.0987654320988,26.071842410197,52.1671826625387
2020-04-02,53.9506172839506,36.7323290845886,53.250773993808
2020-04-03,66.0493827160494,14.1367323290846,74.1486068111455
2020-04-04,75.8888888888889,60.486674391657,68.2146542827657
2020-04-05,52.4074074074074,0,54.2827657378741
2020-04-06,15.1111111111111,59.675550405562,62.8482972136223
2020-04-07,100,29.2004634994206,51.2899896800826
2020-04-08,60.8271604938272,40.6720741599073,100
2020-04-09,64.5061728395062,47.5086906141367,82.1465428276574
2020-04-10,66.1234567901235,100,70.7946336429309
2020-04-11,73.1358024691358,55.0405561993048,55.3147574819401
2020-04-12,60.4938271604938,86.0950173812283,50
2020-04-13,43.9012345679012,72.0741599073001,41.5376676986584
2020-04-14,45.6913580246914,31.8655851680185,46.0268317853457
2020-04-15,96.7530864197531,52.7230590961761,75.593395252838
2020-04-16,59.8024691358025,60.9501738122827,54.5407636738906
