date,US-New York-New York City,Japan-,US-New York-Nassau
2020-03-12,92,279,40
2020-03-19,2372,285,341
2020-03-26,20644,463,3532
2020-04-02,28698,1108,6673
2020-04-09,35218,2172,9553
2020-04-16,36118,3959,7632
